ID,Title,Question,,
57712603,Adding and visualizing Integers as Datetime field in ES,"Unable to visualise the datetime in kibana when mapping for the field is assigned as date. Sample JSON being loaded to ES ES Mapping:
GET _template/line- Unable to visualise the above jsons in Kibana. But successfully able to create indexes in kibana ",,
57712840,is there any way to execute mkdir in etcdctk v3,I am executing this command using etcdctl(etcdctl version: 3.3.13): throw this error: I read the command help and find no mkdir commands.Is there any way to execute command in etcdctl v3 or any replace way? ,,
57730611,Does anyone know of a DATA SUPPRESSION Package in python?,"Data suppression as in data suppression for privacy reason.
Data suppression as in data suppression for privacy reason. ",,
57743416,"How to convert 1D array of size (10,) to (5,4) so that i can plot heat map of (5,4)","from sklearn.model_selection import train_test_split from sklearn.model_selection import GridSearchCV from sklearn.model_selection import Randomize import time start_time=time.time() RF = RandomForestClassifier(n_jobs=-1,class_weight='balanced') parameters = { 'n_estimators' :[10, 100, 500, 1000],'max_depth': [10, 50, 100, 500, 1000]} clf = RandomizedSearchCV(RF,parameters, cv= 3, scoring='roc_auc',return_train_score=True) clf.fit(X_train, y_train) train_auc= clf.cv_results_['mean_train_score'] train_auc_std= clf.cv_results_['std_train_score'] cv_auc = clf.cv_results_['mean_test_score']  cv_auc_std= clf.cv_results_['std_test_score'] print(""Execution time: "" + str((time.time() - start_time)) + ' ms') train_auc = train_auc.reshape(5,2)  cv_auc = cv_auc.reshape(5,2) train_auc cv_auc plt.yticks(np.arange(4), [10, 100, 500, 1000]) plt.xticks(np.arange(5), [10, 50, 100, 500, 1000]) ",,
57415354,NgRx Effect infinite loop with chain services,"I have a problem with the effect where I call a service chain and generates an infinite loop of calls.
The component generates a dispatch
The Effect intercepts the Action and executes the Builder service where inside it runs the Http service that generates an Http call. With the HTTP response I get the http observabke back to the Builder Service and in turn always returns an observer to the effect. The effect creates the positive or negative action. Here the pastebin code Thank you all for the support!!  ",,
57416185,Mailchimp landing page fail to index on Google Search Console because blocked by robots.tx,"A mailchimp landing page with a custom subdomain is failing to index on Google Search Console because it's being blocked by robots.txt. The domain is authenticated on Mailchimp and the landing page subdomain is verified on Mailchimp. SSL is working fine. Google Search Console is able to index other subdomains using other services - just not the Mailchimp landing page. I didn't see anywhere within the Mailchimp portal where the robots.txt file can be modified. I was expecting Google Search Console to queue up the landing page for indexing. However, I received an alert: Index Request Rejected. Drilling into the alert: Crawl was not allowed because it's blocked by robots.txt. ",,
57418202,How can I configure email to work correctly with punycode domain?,"I have a punycoded domain with a cpanel linux hosting. The domain is coded correctly for visits to the site. However, the email address is display punycode. Example: ""contacto@xn--casamazuntea-khb.com"" should be displayed as ""contacto@casamazunteña.com"" Any idea on how to go about this? PS: Apologies if this is not the right forum ",,
57420627,Sequential consistency vs Writes Follows Reads and Read Your Writes,I had an exam question today and I'm wondering if its correct vs If you combine the first two  I wrote that it does mainly because the two together emulate the same behavior. Is this accurate? ,,
57442585,How to display preresgistered partials in handlebars?,"I am trying to use handlebars. I have a chat, when a user send a message, I want to render an handlebar template I have the following code in nodejs to load my vies and partials =>  Now I have a simple partial that is like this message.hbs I know I can call like this from a views  How do I get my partial in my javascript and append it to an element ? Is it working only from the templates ?  ",,
57442682,Monitoring Water Quality witth Arduino micro-controller and Node js,Good day everyone. Please I am in need of assistance of knowledge. I want to design an application that works with an Arduino micro-controllers that is connected to different controllers and sensors to monitor water quality. I know Node js and JavaScript but I need an idea on how to start programming things like this. Thank you. I have never done any project like this because this is not my area of expertise but I want to do one now. ,,
57447766,gitlab ci can not recognize the new custom file of factory,gitlab can not recognize and use the custom model factory I create in the lumen project by default lumen use  ,,
57456706,Accordion getting collapsed when we filter the list,When I use the filter on that list it is getting collapsed on every click It should not get collapsed ,,
57459176,Android Studio: Cannot start internal HTTP server,"Can anybody help on below error in Android Studio?  I have tried all the possible way suggested on internet (like turn on/off fireball, re-installed android studio etc.)  Error:
""Cannot start internal HTTP server. Git integration, JavaScript debugger and LiveEdit may operate with errors. Please check your firewall settings"" Any help will be appreciated.  ",,
57468076,G Suite Marketplace app - where to edit the contents?,i used to edit my g suite marketplace app listing contents via chrome store developer dashboard but looks like it's detached as new manifesto should not include domain string. now where should i update my app listing contents? Maybe in google cloud console? chrome web store developer dashboard ,,
57477511,How to set center align and between gap of product shown on home page in ArtFactory theme of nopcommerce 3.80,I want to set center align of product which I am showing in home page and also provide the gap between the product image. For more clear lets see the image of it.  As per the image shown their is three product image with their name now I want to set this line in a center align also want some gap between the image. This product is showing in the home page of  ,,
57477514,Something went wrong while saving the category Magento 2.1.16,"Magento verion 2.1.16. Whenever I am trying to create a new category I am getting the error - Something went wrong while saving the category.
In the exception log its showing
[2019-08-13 10:33:09] main.CRITICAL: RuntimeException: Can't create directory /home/onelifehair/public_html/var/generation/Magento/Framework/App/Response/Http/. in /home/onelifehair/public_html/vendor/magento/framework/Code/Generator.php:115
Stack trace: I have tried reindexing, deleting the content of var/generation, running setup:di:compile and static:content:deploy. Also tried chmod -r -v 777 var/generation. But nothing is working. Please help me regarding this ",,
57502217,"How can I make a ""time of week"" heatchart?","I have an event model (title:string, starts_at:datetime, ends_at:datetime) and lots of events in the database. How can I make a ""time of week heatchart""? Below - from google analytics dashboard  ",,
57511645,Changeable DefaultHeaders,"Within the auto generated APIClient class of Swagger-Codegen generated files there are so called 'default-headers'. For some reason those are to be setOnce. Swagger the generated code also makes sure, said headers actually can only be set once, which is not to practical with apps setting their user session tokens into those default headers.  Is there any way, to tell the codegen executable to not make those default headers 'setOnce'? Situation: Current Workaround: Restart the App on SignOut ",,
57526297,How to add frame color to your newly opened window?,"want to add optional frame color in the newly opened window So i want to make an extension that open a link from an extension. and it is working. but i am wondering if its possible to also add a frame color option since it is written in the documentation here .  i tried something like this, even though before running it i highly doubt it will work ",,
57526933,Is there a way to install Twistlock defenders on AWS AMIs?,"I would like to package an AMI with a twistlock defender agent.  Unfortunately, the agent needs to authenticate and register itself upon startup.  Is there any way to do this (securely) so that I can enforce EC2 twistlock defender compliance across the AWS account? ",,
57535384,Lightning Navigation To Custom Setting Record,I have tried appending the ID of the custom setting record in the URL however it is not working. I need to redirect to the custom setting record using the Id of the record I am fetching from apex controller of the lightning component. ,,
57540139,Does nvm4w has a default version?,"see the screenshot below, every time   ",,
57543234,Excluding all /api.asmx/* from HTTPS redirect on NGINX,I am trying to exclude URL starting with /api.asmx/* from HTTPS redirect in nginx (all traffic is redirected from HTTP to HTTPS so i want to have /api.asmx/* accessible thru HTTP). sample URL to exclude: I tried this without any success : ,,
57546753,Whats is the glide library which supports 64 bit requirment of google?,"As per google new policy whats the 64 bit dependency for glide and picasso? Can someone help me getting pass this trouble ... please 
Answer the dependency for 64 bit glide and picasso ...
Or from where i can find those dependency ?? ",,
57553448,ERROR: Attribute '' cannot be parsed: Cannot read property 'dataType' of undefined,I was creating document_types table using following cli command ,,
57558948,"learner get_preds, preds and predicted value not equal","max argument value and predicted output of get_preds of learner(cnn_learner) are not coming equal I tried reading the source code but could not understand how it is coming different
 ",,
57560361,Cant connect to peerjs cloud server only in mobile device,"I have wrote a program using peerjs in Ionic 3. I can run them successfully in computer browsers and computer android emulator (successfully connecting other peers and send/receive messages). However, I found there are no connection to cloud server when I am testing it in an android device. This is the result from Chrome DevTools: this.peer.on('open', ...) is not fired. And I have also logged the created ""Peer"" object.
the socket property is undefined, _id is null. So, I guess its the connection problem to the cloud server. Anyone has idea? Thanks. ",,
57560888,Starting of a virtual device on genymotion for app development,"Error: the virtual device got no IP address, The Dynamic Host Configuration Protocol  not assigning IP address 
how to fix it? ",,
57567369,What if there's another directory inside readers and inside that directory email is stored. Then also the below given code will work?,What if there's another directory inside readers and inside that directory email is stored. Then also the below given code will work ? ,,
57568835,How to reformat all the open files in IntelliJ,Is there any shortcut to reformat the code in all the open files in IntelliJ? I'm specifically looking for a way to reformat all the  ,,
57577633,Auto orient picture with AWS Serverless Image Handler,I would like to automatically orient pictures and strip exif data with AWS Serveless Image Handler. I'm currently using the demo UI and the image does not auto orient. I need to auto orient pictures taken from mobile devices so that they display properly on the web and other mobile devices. I currently use the Ruby Gem Paperclip to achieve this with these settings: ,,
57594986,"Construct your HTTP request by specifying the URI, HTTP Method, headers, content type and request body",I am trying to run sample code to authorize gapi but cannot break through the elemental barrier as described inthe quick start.  when local host is added nothing happens except I see a hyperlink menu of all the folders in my root directory ~ ' ,,
57611205,How do I generate simulated orbits with Skyfield?,"I have the orbital parameters for multiple simulated orbits. I want to feed this into Skyfield so that I can see how the distances between the satellites (and to ground stations) vary with time.   It seems that Skyfield only supports creating a EarthSatellite instance via a TLE. 
Do I have to fake a TLE to create my 'own' satellites? ",,
57622060,Graylog via Kafka,"I’m planning to use Spring boot and Graylog for our application logging. Is it possible to use Kafka as the log transport mechanism? Any recommendations on how this done, libraries would be much appreciated.  ",,
57631589,Loading Cesium Terrain tiles on terria map,I have develop a hybrid app using TerriaJS for loading terrain tiles on terria map. I created catalog JSON for cesium terrain. But none of them is working. When I load catalog on map the globe just become white. ,,
57639868,Wp-Calypso: Update react view without recompiling entire wp-calypso app,I'm currently working on a view based on the  ,,
57646925,Not able to access data pipeline from AWS lambds using SDK,I have created aws lambda which will activate the data pipeline which will copy data from S3 to RDS. But i am not able to access data pipeline from aws lambda. I am expecting the list of data pipeline that i have created. But its giving timeout exception. I am able to see logs till i call dataPipelineClient.ListPipelinesAsync only. ,,
57647454,Execute postgis (st_intersects) methods in JPA Repository,Below code is my jpa method for intersects or  I tried to execute both types but I get same error when executing the both ,,
57672500,Failed to build HPX on windows with VS2017,"I followed the instructions on  To fix it, I reconfigured CMake to build using VS2013.
Than I get an error that tells me that I must use VS2015 as minimum.
I edit the files ""CMakeCXXCompiler.cmake"" and  ""CMakeCCompiler.cmake"" in the binaries folders, and change the directory and version of the compiler (cl.exe) and linker (link.exe) to the one in VS2017. Now, some of the tests fail and I get the error:
""CMake Error at cmake/HPX_Message.cmake:47 (message):
  HPX needs support for C++11 deleted functions""
Performing Test HPX_WITH_CXX11_ALIGNAS - Failed
Performing Test HPX_WITH_CXX11_CONSTEXPR - Failed
Performing Test HPX_WITH_CXX11_DELETED_FUNCTIONS - Failed I created a simple project in VS2017 and made sure that I can use the 
""= delete ;"" on a default constructor, and it compiles. ",,
57675463,How do I execute a shell builtin after executing a shell automatically without using profile and RC files?,"I want to execute my shell with the environment I provide as the command line arguments. For that I have a script that ends with  e.g: My issue is that, I also want to execute  ",,
57675589,darknet: ./src/parser.c:315: parse_yolo: Assertion `l.outputs == params.inputs' failed,"I'm trying to train yolo on my own dataset using darknet
I tried yolov2,yolov3 to do so..
I followed this article here  some times I got another similar error but with parse_region Assertion
I tried many solution most of them recommend to fix the number of filters but I can't figure it out, so here's my yolov3.cfg and this my obj.data ",,
57677842,heatmap refinement by using ConvLstm2D,"I'm going to refine a sequential heatmaps which are related to frames of a video by considering their time correlation.
I used ConvLSTM2D, but the output looks like the input average! and the accuracy is less than input.
Each heatmap shows spatial probability of each joint in each frame.
would you help me to find the problem? ",,
57678603,ApexCharts - Display heatmap without grid,"I want to display a heatmap without grid lines Here is my config :  Even with this, some lines are still displayed between squares. See the image :  ",,
57682060,Retrieving data from CellGridRenderer via cellRendererFramework in React,I am having issues getting the click data on the cellrenderer in  Parent Grid: in Child componet ,,
57682182,how to use keras min_delta and cooldown in ReduceLROnPlateau,"Lets say we set    ReduceLROnPlateau(monitor='val_acc', factor=0.1, patience=10, verbose=0, mode='auto', min_delta=0.1, cooldown=0, min_lr=1e-8) is this how algorithm proceeds?    if yes, then for validation accuracy as metric, as we lower the min_delta(finer), we
should get more frequent learning rate changes  and vice versa? Also, how does the above change with lets say a cool down of 2?(is it useful to have non zero cooldown?) ",,
57688847,GitHub Enterprise won't let me commit to a gist,"GitHub Enterprise will not let me push to a gist: The clone definitely works, as I can view the cloned gists. However, I cannot  I also tried adding the origin manually, both with and without the  ",,
57689886,"How to convert the game video rcd format of ""QQ Hyun Dance"" game to other video formats?","I want to convert the video format, because the rcd format can't be played by the player, it can only be played in the game. ",,
57690944,Apache Atlas How to Creating Terms in API Level share the Sample API,Apache Atlas:Atlas REST API : How can create a new term in the API Level and How to Add the Tag in the Classification based on the API  ,,
57693165,Thumbnails removed when swiping right or left in LightGallery,"I am using   And when I click on the thumbnail, it will open the window like this:     Below is the code snippt for JS HTML Markup: ",,
57693205,Solace Ingress and Egress message discards?,"Is there any documentation on what the subsections mean under SolAdmin -> Statistics -> Client Statistics 
There are two sections Total Ingress Discards / Total Egress Discards and further classification under that. I would like to understand more on the subsections under ingress/egress discards  Tried searching the documentation and there was not much help. Appreciate if you can point me to the right documentation or share your knowledge here. thanks ",,
57696295,Is there a solution that has a repository of documents and a search engine to query those documents?,"As a product manager, I get multiple product inquiries daily. I am trying to compose a repository that can hold all my replies and has a search engine where users can simply search for answers. This would help users first look for their answers on the search engine and next come to me if they have more doubts. Any application/solution that can solve the above problem is welcomed. ",,
57696377,Access gateway payment information with magento SOAP C #,"I am using C# to access magento WebService SOAP to receive payment data from a gateway. However, payment details do not appear in the webservice return. I am using the SalesOrderInfo method but it does not show the number of order installments.
Does anyone know how I can return this value?
Thank you! var dataOrder = m.salesOrderInfo(admin, 100000001); ",,
57696378,mdt: command not found [mendel development tool],"I've flashed my Google Coral Dev Board going through the instructions on this page:
 I've downloaded the mendel development tool with  But when I try to connect to the board's shell via MDT, using I'm met with  I'm using a macOS, for reference. Any advice on whether I've downloaded MDT correctly, or am missing something else is greatly appreciated. ",,
57697005,How to avoid build timeout on deploy step?,"I am trying to automate the generation of a bunch of doxygen documentations (multiple versions of a software). All is working well but I have a problem at the end of my build on the deploy step when deploying to GitHub page my build docs with the following output. The directory to publish in huge so, it is not a surprise that it take more than 10 minutes. I have tried to add  Is there any way to get this to work ? Here is my  The failing job :  And the build matrix :  ",,
57698387,"In VSCode how do I ""Run Python File in Terminal"" or ""Debug (F5)"" using python unbuffered option -u","I want to run python unbuffered (-u) in VSCode while using ""run python file in terminal"" and the debugger ""F5"".  Yes, I could use something like coderunner, but I want to actually debug using VSCode debugging tools, not just run my script. I have searched the entire settings.json default file for such a setting, expecting something like ""python.pythonUnbuffered = True"", but nothing exists.   Here is my project's settings.json file which isn't that exciting.  I'm expecting I would set the unbuffered option in there somewhere if I knew the correct parameter. I expect there is a setting somewhere to run python -u but I can't find it. ",,
57698467,Alicloud:How to get regions/zones where cluster can be created?,Not all regions supports the creation of managed kubernetes clusters. Which API calls let me discover regions in which kubernetes clusters can be created? ,,
57699782,Can I include a single instance of a module (not .jar) in multiple projects?,"I'd like to see the source code for a single instance of my module in multiple projects.  Currently, I copy the code for the module rather than include a JAR file.  I like to have access to the live code for editing and debugging. The scenario is like this: project A has the module with all of its source code.  I create project B and need the module too.  I don't want a JAR file.  I need access to the code for editing/debugging. I apologize if I missed a previously answered question.  I may be using the wrong terms for my searches. Thank you for your time. ",,
57701562,etc/host How to add a directory in Windows,"I'm trying to set  But I can't figure out how to add a directory to my etc/host. This is what I'm doing, at my etc/host If I access it as  ",,
57702873,i want to how to deal with dependency in angular integration testing with jasmine,i got this error why? that is my code.i want to know how to work with dependency and how to instantiate those dependencies in inyegration testing i got this error why? that is my code.i want to know how to work with dependency and how to instantiate those dependencies in inyegration testing ,,
57703913,XMPP message still receive even already block through XMPP PrivacyList,"I blocked the user and it is successfully block, but when I close and open again the app, it can still receive messages ",,
57705892,Elastic cache redis performance in ecs,"In our organization, we have been running a Node 6 application consisting of Nginx and application on Amazon EC2 instances. Usually at traffic it autoscales up to 14 m4.large EC2 instance and the response of time of the apis would be around 80 ms for 12k rpm load. We recently moved to AWS ECS, where each task had 2 containers (Nginx 
+ application) and also updated to node12. Now we have around 160 tasks (100 CPU unit for each Nginx + 100 CPU unit for application inside a task) running with 16 same m4.large instances. But the response time increased to 250 ms. In EC2 architecture which we used earlier took GET Elasticache Redis operation around 6ms whereas in ECS when load is high the Redis takes 70ms for the same operation. Please help to suggest some optimisation to get same EC2 performance. ",,
57706789,TinyMCE Paste plugin,I am using TinyMCEv4. What I am trying to have is a plain as text button. For that I have to include paste plugin. But once I add paste plugin and paste links from word they get stripped. Here is my configuration }) Can anyone suggests me a way of having links as links while having the option to paste as text from word as well.  ,,
57707295,Prevent DBMS schedular job from executing next run without killing the job,I have a DBMS_SCHEDULER job which is running now. I want to prevent this job from executing next run without killing the current job. I tried to disable the job. But it will not disable a running job ,,
57708679,How to include ksshaskpass for git in visual studio code,"I use ksshaskpass in combination with kwallet for my remote git credentials, in console everything works fine but visual studio code keeps asking me for username and password I actually dont want to change to a credential helper.
I used ksshaskpass like: git config --global core.askPass ksshaskpass ",,
57710086,Prestashop - problem with sorting categories,"I am using prestashop with version 1.7.4.4. There is specific category that has problems with sorting - when i use drag and drop functionality, drop this category at end of list - it shows message that category position was changed succesfully. But when i refresh page, it stays as before sorting. Only single category has this problem and i can sort it to some positions, but when i drop it at end of category list, there is problem. ",,
57710875,"""Email me my location"" flow returns ""Invalid type"" error","I created an ""Email me my location"" flow with the following values When I ran the flow, I got the flowing error Any ideas as to why this is happening? ",,
57711916,AutoSize footer using SelectPDF,"I'm trying to find a way to make my footer take up as much space as needed, and not the default (which is 35pt) or a fixed value set by me. I'm using SelectPDF and I found no straightforward solution for this. I tried to use the  Expected: footer takes up as much space as needed, without setting a fixed value for it. Thanks, Lorena. ",,
57717525,Adding nodes to a dispersed gluster cluster,"I was reading the gluster documentation and am having difficulty figuring out exactly how my cluster ought to be configured. Suppose I decided to set up a dispersed distributed cluster with 3 bricks and redundancy = 1.   If I did this do I have to add bricks in groups of 3, or can I add 1 or 2 bricks if desired? If I add 3 bricks to the cluster does the redundancy number change?  I looked at this:  ",,
57719209,Generate Heatmap in Kibana X-Asix day and Y-Axis hours to plot Number of web hits,I would like to plot the heatmap in Kibana with X-Axis in date and y-Axis hours and plot the web sites hits in a day hours basis. ,,
57722736,Bower Illegal instruction (core dumped) after fresh instalation,"After fresh Ubuntu installation and clear snap installation bower keep dumping ""Illegal instruction (core dumped)""
I thought that it was because the lack of JAVA in my PATH.. But its not that. After removing bower and try installing it again, snap crashes with: This revision of snap ""bower"" was published using classic confinement ",,
57722877,I am facing this issue when i install testng release 7.0 and add dependency for same versiojn 7.0,java.lang.NoSuchMethodError: org.testng.remote.AbstractRemoteTestNG.addListener(Lorg/testng/ISuiteListener,)V public class TestngDemo { DesiredCapabilities caps=new DesiredCapabilities(), } 
57722895,Routing b/w components as last component shouldn't show current component show be on screen in Angular,Routing b/w components as last component shouldn't show current component show be on screen. ,,
57725271,Jenkins: Archive Failed with xcode 10.2,"I am trying to build an .ipa from jenkins with freestyle project. I am using xcode10.2 and jenkins ver 2.112. But I faced the following issue. The following build commands failed: CompileSwift normal arm64
CompileSwiftSources normal arm64 com.apple.xcode.tools.swift.compiler I tried so many solutions regarding this issue. but none of them help me. ",,
57725506,An element could not be located on the page using the given search parameters (Appium 1.13.0),"I am working on Automation for Android App. While running the script, Appium unable to find the elements. I tried using Id, Xpath. Please help me with this... Android version: 5.1.1 &amp; 9
Appium Version: 1.13.0
Maven Project @Test
public void login() { driver.findElement(By.id(""com.vehito.vehitoplus:id/sign_in_button"")).click();
}   Actual Result:
Encountered internal error running command: NoSuchElementError: An element could not be located on the page using the given search parameters ",,
57728380,cmd-reporter versus version in rook-ceph,"After enable the graylog in the lab my cluster broken. I tried delete and create a new cluster but it was unsesufull. The follow error message apper to me when I try create a cluster. ""op-cluster: unknown ceph major version. failed to extract ceph version. failed to parse version from: Error response from daemon: configured logging driver does not support reading"" I read that the problem is because the ceph versions is getting from logs in stdout. I read too than a new feature was release to fix it: cmd-reporter. In front off, I dont know how i cant fix it or enable the cmd-reporter. I has using the follow versions:
* rook/ceph:v1.0.2
* ceph/ceph:v14.2 Any suggestion? 
Tkz in advance ",,
57728804,Density histogram with lognormal fit,"Dears
I have used the below code for fitting a lognormal distribution to a histogram of my set of positive data. When I run it, Rstudio displays no error messages, but at the same time, there is no result, there is no graph produced. Whats going on?  ",,
57729913,Thread using win32com module fails,"I am working on a piece of code that populates the available USB devices (findDevices()) using win32com module. This is slowing down the code, so I resorted use a thread and continue with the rest of the code. When I did that, I get an error:  Below is a snippet of the code When I searched on this topic, I came across this  ",,
57729960,Prefill and style an email with rich text using JXA: How?,"I would like to write a JxA script to automate the creation of some emails based on some values that are retrieved/calculated dynamically.  However, I can't figure out how to properly style and format the email body. I'd have some basic needs: 
- Writing something in bold
- Adding a link
- Changing the text color or size.  I've tried both html and rtf syntax in the string below, neither worked.   ",,
57731095,"Teams returns attachment content in html, how to get it in json","When user sends URL to my bot, MS Teams puts as an attachment with contentType as ""text/html"", includes the html content like this: How do i get the attachment content in JSON instead of html?  ",,
57731539,Last record not shown when using NavigationController,When I use navigation controller with XLPagerTabStrip the last table records are below the tabbar. When I remove the navigation controller all records are shown correctly. [enter image description here] [1]:  ,,
